Name,Months
Fire control and alarm assets: Detection and alarm systems: Detectors: Heat,240
Fire control and alarm assets: Detection and alarm systems: Detectors: Manual call point (addressable type only),240
Fire control and alarm assets: Detection and alarm systems: Detectors: Multi type,240
Fire control and alarm assets: Detection and alarm systems: Detectors: Smoke,240
Fire control and alarm assets: Detection and alarm systems: Fire indicator panels,144
Fire control and alarm assets: Detection and alarm systems: Gas suppression cylinders,300
Fire control and alarm assets: Emergency warning and intercommunication systems: Master emergency control panels,144
Fire control and alarm assets: Emergency warning and intercommunication systems: Speakers,144
Fire control and alarm assets: Emergency warning and intercommunication systems: Strobe lights,144
Fire control and alarm assets: Emergency warning and intercommunication systems: Warden intercom phones,144
Fire control and alarm assets: Extinguishers,180
Fire control and alarm assets: Hoses and nozzles,120
Fire control and alarm assets: Pumps (including diesel and electric),300
Fire control and alarm assets: Stair pressurisation assets: AC variable speed drives (VSDs),120
Fire control and alarm assets: Stair pressurisation assets: Pressurisation and extraction fans,300
Fire control and alarm assets: Stair pressurisation assets: Sensors,120
Floor coverings (removable without damage): Carpets (excluding fixed carpet tiles),96
Floor coverings (removable without damage): Floating timber,180
Floor coverings (removable without damage): Linoleum and vinyl,120
"Fogging machines (insecticide, including cold foggers and thermal foggers): Portable",72
"Fogging machines (insecticide, including cold foggers and thermal foggers): Vehicle mounted",120
Forklifts,132
Forklift battery chargers,132
"Formwork, beams and props, steel",120
"Foundations for plant and machinery (integral to the operation of such plant and machinery, but not incorporated into the plant and machinery itself)",480
Hand dryers (electrical),120
Hand tools (manually operated),120
Judges' robes: Ceremonial robes,180
Judges' robes: Working robes,120
"Laboratory assets used in quality control, sample checking etc: Automated and electronically based laboratory assets (including analysers, refractometers, spectrometry machines etc)",84
"Laboratory assets used in quality control, sample checking etc: Other laboratory assets (including autoclaves, centrifuges, microscopes, ovens etc)",120
Laser cutting machines,120
Levels: Automatic optical levels (dumpy levels),84
Levels: Laser levels: Grade laying (dial-in grade),72
Levels: Laser levels: Laser plummets,60
Levels: Laser levels: Line and plumb/point and cross line,48
Levels: Laser levels: Pipe laying,72
Levels: Laser levels: Rotating,72
Levels: Laser levels: Tunnelling and plumbing,72
Libraries (professional),120
"Lift slab assets (incorporating spreader bars, clutches, pulleys and cables)",60
"Lifts (including dumbwaiters, hydraulic lifts and traction lifts)",360
Light fittings and freestanding lights (excluding hardwired light fittings),120
Light shades (removable),60
Lighting control systems (microprocessor based),60
Loading bay assets: Dock levellers,240
Loading bay assets: Pallet jacks and pallet trucks,120
Loading bay assets: Scissor lifts,180
"Lockers, freestanding",240
"Machine tools (grinding machines, lathes, milling machines etc): CNC and NC based machines",120
