name,wikidata,url,support_url,warranty_lookup_url,notes
MaxLinear,,,,,
Mediatek,,,,,
MikroTik,,,,,
Mitsubishi,,,,,
Motorola,,,,,
Napatech,,,,,
Netgear,,,,,
Nokia Networks,,,,,
Nortel,,,,,
Nvidia,,,,,
Oracle Corporation,,,,,
Proxim,,,,,
PSSC Labs,,,,,
QNAP Systems,,,,,
Qualcomm,,,,,
RAD Data Communications,,,,,
Rad Group,,,,,
Radware,,,,,
Realtek,,,,,
Ribbon Communications,,,,,
Riverbed Technology,,,,,
Router SoC,,,,,
Ruijie Networks,,,,,
Sagemcom,,,,,
Secure64,,,,,
Server appliance,,,,,
Siae Microelettronica,,,,,
Sierra Wireless,,,,,
Siklu,,,,,
Symantec,,,,,
Technicolor,,,,,
Telco Systems,,,,,
Teledata Networks,,,,,
Teltonika Networks,,,,,
TP-Link,,,,,
TRENDnet,,,,,
Ubiquiti,,,,,
USRobotics,,,,,
WatchGuard,,,,,
Yamaha,,,,,
ZyXEL,,,,,
Rad Group,,,,,
Radware,,,,,
Realtek,,,,,
Ribbon Communications,,,,,
Riverbed Technology,,,,,
Router SoC,,,,,
Ruijie Networks,,,,,
Sagemcom,,,,,
Secure64,,,,,
Server appliance,,,,,
Siae Microelettronica,,,,,
Sierra Wireless,,,,,
Siklu,,,,,
Symantec,,,,,
Technicolor,,,,,
Telco Systems,,,,,
Teledata Networks,,,,,
Teltonika Networks,,,,,
TP-Link,,,,,
TRENDnet,,,,,
Ubiquiti,,,,,
USRobotics,,,,,
WatchGuard,,,,,
Yamaha,,,,,
ZTE,,,,,
ZyXEL,,,,,
